FLIGHT_ID,SOURCE,DESTINATION,TOTAL_SEATS,AVAILABLE_SEATS,PRICE,FLIGHT_DATE,FLIGHT_TIME
200,"Chicago","San Francisco",170,90,3000.50,"2026-03-10","17:45"
201,"New York","Los Angeles",180,75,1500.50,"2026-03-01","08:30"
202,"Chicago","Miami",150,60,2800.00,"2026-03-01","12:45"
203,"Los Angeles","San Francisco",200,120,1750.75,"2026-03-02","10:15"
204,"Dallas","New York",170,50,3200.00,"2026-03-02","09:00"
205,"Miami","Chicago",160,80,2750.25,"2026-03-03","14:20"
206,"San Francisco","Dallas",180,100,3100.50,"2026-03-03","16:45"
207,"New York","Miami",200,150,3600.00,"2026-03-04","07:50"
208,"Chicago","Los Angeles",190,90,3400.00,"2026-03-04","11:30"
209,"Dallas","San Francisco",170,60,4000.75,"2026-03-05","13:15"
210,"Miami","New York",160,40,2800.00,"2026-03-05","15:50"
211,"San Francisco","Chicago",180,120,2950.25,"2026-03-06","08:40"
212,"Los Angeles","Dallas",200,180,3100.00,"2026-03-06","12:10"
213,"New York","San Francisco",190,95,4000.00,"2026-03-07","06:30"
214,"Chicago","Miami",170,70,2850.50,"2026-03-07","09:45"
215,"Dallas","Los Angeles",180,110,3250.75,"2026-03-08","14:00"
216,"Miami","Chicago",160,60,2700.00,"2026-03-08","16:30"
217,"San Francisco","New York",200,160,3950.50,"2026-03-09","07:15"
218,"Los Angeles","Chicago",190,80,3350.25,"2026-03-09","10:50"
219,"New York","Dallas",180,120,3100.00,"2026-03-10","13:25"
220,"Chicago","San Francisco",170,90,3000.50,"2026-03-10","15:45"
221,"Boston","Seattle",180,95,4200.00,"2026-03-11","06:15"
222,"Seattle","Boston",180,110,4150.50,"2026-03-11","18:40"
223,"Atlanta","Denver",170,85,2950.75,"2026-03-11","09:20"
224,"Denver","Atlanta",170,70,2900.00,"2026-03-11","19:10"
225,"Houston","Phoenix",160,60,2700.25,"2026-03-12","08:45"
226,"Phoenix","Houston",160,90,2650.00,"2026-03-12","17:30"
227,"Las Vegas","San Diego",150,55,1800.50,"2026-03-12","11:00"
228,"San Diego","Las Vegas",150,100,1750.00,"2026-03-12","20:15"
229,"Orlando","New York",190,140,3600.75,"2026-03-13","07:10"
230,"New York","Orlando",190,120,3550.00,"2026-03-13","16:55"
231,"San Jose","Portland",140,65,2100.00,"2026-03-13","10:30"
232,"Portland","San Jose",140,90,2050.25,"2026-03-13","18:20"
233,"Austin","San Antonio",120,40,950.00,"2026-03-14","09:00"
234,"San Antonio","Austin",120,75,900.50,"2026-03-14","21:10"
235,"Raleigh","Washington DC",130,85,1200.75,"2026-03-14","07:35"
236,"Washington DC","Raleigh",130,95,1150.00,"2026-03-14","19:25"
237,"Minneapolis","Detroit",150,70,1850.00,"2026-03-15","08:50"
238,"Detroit","Minneapolis",150,110,1800.50,"2026-03-15","17:40"
239,"Cleveland","Nashville",140,60,1650.25,"2026-03-15","12:10"
240,"Nashville","Cleveland",140,100,1600.00,"2026-03-15","20:30"
241,"Tampa","Atlanta",160,90,1950.00,"2026-03-16","06:55"
242,"Atlanta","Tampa",160,130,1900.75,"2026-03-16","15:45"
243,"Salt Lake City","Boise",110,50,1100.00,"2026-03-16","09:40"
244,"Boise","Salt Lake City",110,80,1050.25,"2026-03-16","18:35"
245,"Kansas City","St Louis",120,45,850.00,"2026-03-17","10:05"
246,"St Louis","Kansas City",120,95,825.50,"2026-03-17","19:50"
247,"Pittsburgh","Philadelphia",140,75,1700.00,"2026-03-17","07:25"
248,"Philadelphia","Pittsburgh",140,105,1650.75,"2026-03-17","16:10"
249,"Columbus","Milwaukee",130,60,1550.25,"2026-03-18","11:35"
250,"Milwaukee","Columbus",130,100,1500.00,"2026-03-18","20:00"
101,"New York","Chicago",180,95,2200.50,"2026-02-01","08:15"
102,"Chicago","New York",180,120,2150.00,"2026-02-01","18:40"
103,"Los Angeles","Dallas",200,140,3100.75,"2026-02-02","09:30"
104,"Dallas","Los Angeles",200,160,3050.00,"2026-02-02","20:10"
105,"San Francisco","Seattle",170,85,2400.25,"2026-02-03","07:50"
106,"Seattle","San Francisco",170,130,2350.00,"2026-02-03","17:25"
107,"Miami","Atlanta",160,90,1850.50,"2026-02-04","10:05"
108,"Atlanta","Miami",160,110,1800.00,"2026-02-04","19:40"
109,"Boston","Washington DC",150,70,1600.75,"2026-02-05","06:45"
110,"Washington DC","Boston",150,100,1550.00,"2026-02-05","16:20"
111,"Houston","Phoenix",180,120,2950.25,"2026-02-06","09:10"
112,"Phoenix","Houston",180,150,2900.00,"2026-02-06","18:55"
113,"Denver","San Diego",170,80,2700.50,"2026-02-07","11:30"
114,"San Diego","Denver",170,140,2650.00,"2026-02-07","21:05"
115,"Orlando","New York",190,130,3500.75,"2026-02-08","07:20"
116,"New York","Orlando",190,160,3450.00,"2026-02-08","17:45"
117,"Minneapolis","Detroit",160,75,1750.25,"2026-02-09","08:35"
118,"Detroit","Minneapolis",160,125,1700.00,"2026-02-09","18:10"
119,"Las Vegas","San Jose",150,65,2100.50,"2026-02-10","10:50"
120,"San Jose","Las Vegas",150,110,2050.00,"2026-02-10","20:30"
121,"San Jose","Dallas",140,130,2890,"2026-02-10","20:30"

